pipeline,transparency_tag,auc,balanced_accuracy,recall,specificity,precision,f1,threshold,tn,fp,fn,tp
multitask_cnn,image_only_baseline,0.9054355470959428,0.7863830974970367,0.6551724137931034,0.9175937812009699,0.00815450643776824,0.016108520559559136,0.01612251251935959,25733,2311,10,19
hard_cbm,interpretable_partial,0.8544190410143666,0.7633644666755197,0.5862068965517241,0.9405220367993153,0.010089020771513354,0.019836639439906652,0.2889026403427124,26376,1668,12,17
glassbox_nam,interpretable_partial,0.886514541188969,0.8107567418686892,0.7241379310344828,0.8973755527028955,0.0072438771990341495,0.014344262295081968,0.028996843844652176,25166,2878,8,21
transparent_lr,fully_auditable,0.732256945981438,0.666603342530703,0.4482758620689655,0.8849308229924404,0.004012345679012346,0.007953502600183543,0.5862008733683168,24817,3227,16,13
transparent_tree,fully_auditable,0.7740865339687879,0.6628579965472976,0.3793103448275862,0.946405648267009,0.00726552179656539,0.014257939079714841,0.8474187272476801,26541,1503,18,11
