pipeline,transparency_tag,auc,balanced_accuracy,recall,specificity,precision,f1,threshold,tn,fp,fn,tp
multitask_cnn,image_only_baseline,0.9238179904485071,0.8503589187434524,0.9310344827586207,0.7696833547282841,0.004162812210915819,0.008288564850345357,0.0007203940767794847,21585,6459,2,27
hard_cbm,interpretable_partial,0.8710905031010383,0.8088662397513268,0.6896551724137931,0.9280773070888604,0.009818360333824251,0.01936108422071636,0.2036294937133789,26027,2017,9,20
glassbox_nam,interpretable_partial,0.7879901779961539,0.6719342511029466,0.4482758620689655,0.8955926401369276,0.004420265215912955,0.008754208754208754,0.020360639318823814,25116,2928,16,13
transparent_lr,fully_auditable,0.7379561182181695,0.7140675490239476,0.6206896551724138,0.8074454428754814,0.0033222591362126247,0.006609142647328804,0.5264518365517447,22644,5400,11,18
transparent_tree,fully_auditable,0.7741154294483054,0.6628758256729572,0.3793103448275862,0.9464413065183284,0.007270323859881031,0.014267185473411154,0.846227171929784,26542,1502,18,11
