pipeline,transparency_tag,auc,balanced_accuracy,recall,specificity,precision,f1,threshold,tn,fp,fn,tp
multitask_cnn,image_only_baseline,0.8624230888406887,0.7557170013623911,0.6551724137931034,0.8562615889316788,0.004691358024691358,0.009316008825692572,0.009915575385093689,24013,4031,10,19
hard_cbm,interpretable_partial,0.858604581962335,0.7354280711591146,0.6896551724137931,0.7812009699044359,0.003248862897985705,0.0064672594987873885,0.304024875164032,21908,6136,9,20
glassbox_nam,interpretable_partial,0.8923661831899626,0.7966354595487879,0.6896551724137931,0.9036157466837826,0.007344840249724568,0.014534883720930232,0.10875138640403748,25341,2703,9,20
transparent_lr,fully_auditable,0.722854233986986,0.6521076485719485,0.41379310344827586,0.8904221936956211,0.0038897893030794164,0.007707129094412331,0.5901743954875407,24971,3073,17,12
transparent_tree,fully_auditable,0.7302410251870213,0.6619665402643138,0.3793103448275862,0.9446227357010413,0.007033248081841432,0.013810420590081607,0.8406186953597877,26491,1553,18,11
