pipeline,transparency_tag,auc,balanced_accuracy,recall,specificity,precision,f1,threshold,tn,fp,fn,tp
multitask_cnn,image_only_baseline,0.8351310010377782,0.7148145279093445,0.5172413793103449,0.9123876765083441,0.006067961165048544,0.011995201919232307,0.011083313263952732,25587,2457,14,15
hard_cbm,interpretable_partial,0.6964277809747244,0.6439462126018719,0.6551724137931034,0.6327200114106404,0.0018412636883418936,0.0036722071897951295,0.1769598126411438,17744,10300,10,19
glassbox_nam,interpretable_partial,0.8603887241231758,0.7317884703347941,0.5517241379310345,0.9118528027385537,0.006430868167202572,0.012713547874453715,0.017904167994856834,25572,2472,13,16
transparent_lr,fully_auditable,0.7379561182181695,0.7140675490239476,0.6206896551724138,0.8074454428754814,0.0033222591362126247,0.006609142647328804,0.5264518365517447,22644,5400,11,18
transparent_tree,fully_auditable,0.7741154294483054,0.6628758256729572,0.3793103448275862,0.9464413065183284,0.007270323859881031,0.014267185473411154,0.846227171929784,26542,1502,18,11
